CUSTOMER,PROGRAM,BATCH_NO,SAMPLE_NO,SITE,SAMPLE_DESC,SAMPLE_DATE,SAMPLE_TIME,NH3_mgN_L,NOX_mgN_L,PO4_Pmg_L,TKN_Nmg_L,TN_Nmg_L,TP_Pmg_L
DSE_VWQ_S,DELWP_MISC,22_45483,185866,225263A, ,5/19/2022,13:45,10,0.18,3.3,15,16,4.3
DSE_VWQ_N,DELWP_SHEPP,22_50050,270992,225263A, ,6/16/2022,13:25,0.15,0.49,0.006,0.85,1.3,0.19
DSE_VWQ_S,DELWP_MAFFRA,22_56703,7539660,225263A, ,7/20/2022,13:50,0.14,0.5,0.008,0.86,1.4,0.19
DSE_VWQ_S,DELWP_MAFFRA,22_61985,7632270,225263A, ,8/17/2022,9:30,0.14,1.2,0.012,1.3,2.5,0.3
DSE_VWQ_S,DELWP_MAFFRA,22_62962,7651581,225263A, ,8/23/2022,10:15,0.044,0.9,0.027,0.98,1.9,0.25
DSE_VWQ_S,DELWP_MAFFRA,22_66987,7721793,225263A, ,9/12/2022,13:00,0.009,0.13,0.014,0.78,0.91,0.17
DSE_VWQ_S,DELWP_MAFFRA,22_81040,7980609,225263A, ,11/17/2022,8:45,0.73,1.7,0.16,2.3,3.9,0.4
DSE_VWQ_S,DELWP_MAFFRA,22_85324,8095740,225263A,Nuntin_Creek_at_princess_Hwy,12/13/2022,14:00,0.24,0.84,1.4,3.2,4,2.7
DSE_VWQ_S,DELWP_MAFFRA,23_08171,8208625,225263A, ,1/18/2023,10:30,0.085,0.15,0.3,0.9,1,0.51
DSE_VWQ_S,DELWP_MAFFRA,23_13246,8296947,225263A, ,2/13/2023,12:00,0.12,0.19,0.039,0.74,0.93,0.25
DSE_VWQ_S,DELWP_MAFFRA,23_19087,8392759,225263A, ,3/14/2023,12:15,0.11,0.16,0.32,2.2,2.4,0.72
DSE_VWQ_S,DELWP_MAFFRA,23_23101,8453336,225263A, ,3/30/2023,9:15,1.7,0.63,1.7,6,6.6,2.7
DSE_VWQ_S,DELWP_MAFFRA,23_25752,8500513,225263A, ,4/13/2023,12:20,0.69,0.15,1.9,3,3.1,2.5
DSE_VWQ_S,DELWP_MAFFRA,23_26444,8512773,225263A, ,4/17/2023,10:40,2,1.3,2,7.7,9,3
DSE_VWQ_S,DELWP_MISC,22_45483,185865,225729A, ,5/19/2022,9:50,0.039,1.7,0.5,1.8,3.5,0.96
DSE_VWQ_N,DELWP_SHEPP,22_50050,270991,225729A, ,6/16/2022,10:50,1.8,3.1,0.67,3.6,6.7,1.2
DSE_VWQ_S,DELWP_MAFFRA,22_56703,7539659,225729A, ,7/20/2022,10:30,0.4,3.8,0.3,1.5,5.3,0.69
DSE_VWQ_S,DELWP_MAFFRA,22_61985,7632269,225729A, ,8/17/2022,13:00,1,1.8,0.81,4.2,5.9,1.5
DSE_VWQ_S,DELWP_MAFFRA,22_62962,7651580,225729A, ,8/23/2022,13:25,0.28,2.2,0.54,2.2,4.4,1.2
DSE_VWQ_S,DELWP_MAFFRA,22_66987,7721792,225729A, ,9/12/2022,11:00,0.68,3.7,0.73,2.7,6.4,1.5
DSE_VWQ_S,DELWP_MAFFRA,22_81040,7980608,225729A, ,11/17/2022,11:30,0.36,0.36,1.5,7.1,7.5,3
DSE_VWQ_S,DELWP_MAFFRA,22_85324,8095739,225729A,CG2_Freshwater_Rd,12/13/2022,11:00,0.59,0.62,1.3,3.2,3.8,2.7
DSE_VWQ_S,DELWP_MAFFRA,23_08171,8208624,225729A, ,1/18/2023,8:50,0.22,0.43,1,2.3,2.7,1.8
DSE_VWQ_S,DELWP_MAFFRA,23_13246,8296946,225729A, ,2/13/2023,8:30,0.065,0.25,1.2,1.9,2.2,2.1
DSE_VWQ_S,DELWP_MAFFRA,23_19087,8392758,225729A, ,3/14/2023,8:45,0.13,0.22,0.89,2.5,2.7,1.7
DSE_VWQ_S,DELWP_MAFFRA,23_23101,8453335,225729A, ,3/30/2023,12:30,7.8,0.32,2.1,15,15,3.3
DSE_VWQ_S,DELWP_MAFFRA,23_25752,8500512,225729A, ,4/13/2023,9:45,0.18,1.1,0.39,1.6,2.7,0.81
DSE_VWQ_S,DELWP_MAFFRA,23_26444,8512772,225729A, ,4/17/2023,9:00,1.4,1.2,0.96,4.9,6.1,1.9
DSE_VWQ_S,DELWP_MISC,22_45483,185867,225752A, ,5/19/2022,12:45,0.4,2.2,0.58,1.7,3.9,0.89
DSE_VWQ_N,DELWP_SHEPP,22_50050,270993,225752A, ,6/16/2022,14:05,2,3,1.4,3.8,6.8,1.6
DSE_VWQ_S,DELWP_MAFFRA,22_56703,7539661,225752A, ,7/20/2022,13:15,2.9,1.5,1.5,4.1,5.7,1.8
DSE_VWQ_S,DELWP_MAFFRA,22_61985,7632271,225752A, ,8/17/2022,11:05,0.46,1.2,0.59,2.9,4.1,1.1
DSE_VWQ_S,DELWP_MAFFRA,22_62962,7651582,225752A, ,8/23/2022,11:30,0.19,1.4,0.56,2.5,3.9,1.1
DSE_VWQ_S,DELWP_MAFFRA,22_66987,7721794,225752A, ,9/12/2022,13:30,0.015,2.2,0.58,1.6,3.8,0.92
DSE_VWQ_S,DELWP_MAFFRA,22_81040,7980610,225752A, ,11/17/2022,9:45,0.76,3.3,0.83,6.2,9.4,1.5
